Step,Mean_train_loss,Train_accuracy,Mean_test_loss,Test_accuracy
1,40.946434020996094,0.22573715448379517,5.442316055297852,0.5003909468650818
2,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
3,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
4,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
5,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
6,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
7,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
8,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
9,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
10,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
11,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
12,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
13,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
14,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
15,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
16,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
17,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
18,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
19,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
20,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
21,5.545572280883789,0.4999023675918579,5.442316055297852,0.5003909468650818
22,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
23,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
24,5.545572280883789,0.4999023675918579,5.442316055297852,0.5003909468650818
25,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
26,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
27,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
28,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
29,5.545572280883789,0.4999023675918579,5.442316055297852,0.5003909468650818
30,5.545572280883789,0.4999023675918579,5.442316055297852,0.5003909468650818
31,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
32,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
33,5.5455732345581055,0.4999023675918579,5.442316055297852,0.5003909468650818
34,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
35,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
36,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
37,5.5455732345581055,0.4999023675918579,5.442316055297852,0.5003909468650818
38,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
39,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
40,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
41,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
42,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
43,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
44,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
45,5.545572280883789,0.4999023675918579,5.442316055297852,0.5003909468650818
46,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
47,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
48,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
49,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
50,5.545572757720947,0.4999023675918579,5.442316055297852,0.5003909468650818
