Step,Mean_train_loss,Train_accuracy,Mean_test_loss,Test_accuracy
1,1.744754672050476,0.2310095727443695,1.1015584468841553,0.5003909468650818
2,1.1120527982711792,0.4999023675918579,1.108289122581482,0.5003909468650818
3,1.111293077468872,0.4999023675918579,1.1101365089416504,0.5003909468650818
4,1.1125209331512451,0.4999023675918579,1.1021063327789307,0.5003909468650818
5,1.1493210792541504,0.4999023675918579,1.2184877395629883,0.5003909468650818
6,1.1756949424743652,0.4999023675918579,1.109116554260254,0.5003909468650818
7,1.1139602661132812,0.4999023675918579,1.1129857301712036,0.5003909468650818
8,1.1127783060073853,0.4999023675918579,1.1371424198150635,0.5003909468650818
9,1.1350294351577759,0.4999023675918579,1.102028489112854,0.5003909468650818
10,1.104248046875,0.4999023675918579,1.1067415475845337,0.5003909468650818
